# x_m,y_m,w_tr_right_m,w_tr_left_m
7.5224,-7.2811,0.9120,0.9120
7.6125,-7.3712,0.9120,0.9120
7.7026,-7.4613,0.9120,0.9120
7.7927,-7.5514,0.9120,0.9120
7.8828,-7.6415,0.9120,0.9120
7.9729,-7.7316,0.9120,0.9120
8.0630,-7.8217,0.9120,0.9120
8.1531,-7.9118,0.9120,0.9120
8.2432,-8.0018,0.9120,0.9120
8.3332,-8.0919,0.9120,0.9120
8.4233,-8.1820,0.9120,0.9120
8.5134,-8.2721,0.9120,0.9120
8.6035,-8.3622,0.9120,0.9120
8.6936,-8.4523,0.9120,0.9120
8.7837,-8.5424,0.9120,0.9120
8.8738,-8.6325,0.9120,0.9120
8.9639,-8.7226,0.9120,0.9120
9.0540,-8.8127,0.9120,0.9120
9.1441,-8.9027,0.9120,0.9120
9.2341,-8.9928,0.9120,0.9120
9.3242,-9.0829,0.9120,0.9120
9.4143,-9.1730,0.9120,0.9120
9.5044,-9.1730,0.8746,0.8746
9.5945,-9.2631,0.9087,0.9087
9.6846,-9.3532,0.9120,0.9120
9.7747,-9.4433,0.9120,0.9120
9.8648,-9.5334,0.9120,0.9120
9.9549,-9.6235,0.9120,0.9120
10.0450,-9.7136,0.9120,0.9120
10.1350,-9.8036,0.9120,0.9120
10.2251,-9.8937,0.9120,0.9120
10.3152,-9.9838,0.9120,0.9120
10.4053,-10.0739,0.9120,0.9120
10.4954,-10.1640,0.9120,0.9120
10.5855,-10.2541,0.9120,0.9120
10.6756,-10.3442,0.9120,0.9120
10.7657,-10.4343,0.9120,0.9120
10.8558,-10.5244,0.9120,0.9120
10.9459,-10.6145,0.9120,0.9120
11.0359,-10.7045,0.9120,0.9120
11.1260,-10.7946,0.9120,0.9120
11.2161,-10.8847,0.9120,0.9120
11.3062,-10.9748,0.9120,0.9120
11.3963,-11.0649,0.9120,0.9120
11.4864,-11.1550,0.9120,0.9120
11.5765,-11.2451,0.9120,0.9120
11.6666,-11.3352,0.9120,0.9120
11.7567,-11.4253,0.9120,0.9120
11.8468,-11.4253,0.8746,0.8746
11.9368,-11.5154,0.9087,0.9087
12.0269,-11.6054,0.9120,0.9120
12.1170,-11.6955,0.9120,0.9120
12.2071,-11.7856,0.9120,0.9120
12.2972,-11.8757,0.9120,0.9120
12.3873,-11.9658,0.9120,0.9120
12.4774,-12.0559,0.9120,0.9120
12.5675,-12.1460,0.9120,0.9120
12.6576,-12.2361,0.9120,0.9120
12.7477,-12.3262,0.9120,0.9120
